瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥绊扁柯(∑C),弥历扁柯(∑C),乞闭浅加(m/s),乞闭款樊(1/10)
184,力林,05-Jan,5.4,13.8,0.6,4.3,7.4
184,力林,05-Feb,5.4,13.5,-1.1,4,6.9
184,力林,05-Mar,8.4,20.6,0.1,4.1,5.2
184,力林,05-Apr,15.4,30.1,7.3,3.2,4
184,力林,05-May,18,27.5,11.8,2.8,4.7
184,力林,05-Jun,23.2,33.7,16.5,3.1,4.8
184,力林,05-Jul,26.9,34.5,21.2,3,6.6
184,力林,05-Aug,27.4,34.7,20.1,2.9,5.6
184,力林,05-Sep,25.1,32.2,20.2,3.1,5.3
184,力林,05-Oct,19.1,29.3,11.6,3.1,5
184,力林,05-Nov,14.2,24.8,6.8,3.3,4.4
184,力林,05-Dec,6,17.8,-1.5,5.2,6.6
184,力林,06-Jan,7.3,16.3,0.1,3.5,6.4
184,力林,06-Feb,6.3,18.2,-1.8,3.9,6.5
184,力林,06-Mar,9.7,19.8,0.6,3.8,4.6
184,力林,06-Apr,13.9,29.1,7,3.3,5.3
184,力林,06-May,17.6,28.3,11.5,3.2,6.1
184,力林,06-Jun,21.1,30,14.1,2.3,6.4
184,力林,06-Jul,25.6,33.7,19.7,2.9,6.8
184,力林,06-Aug,27.9,34,22.2,2.3,4.6
184,力林,06-Sep,21.7,29,17.1,2.9,6.3
184,力林,06-Oct,19.9,26.7,11.5,2.6,3.7
184,力林,06-Nov,14.8,25.5,7.4,3.9,5.9
184,力林,06-Dec,9,18.2,2.2,3.6,6.6
184,力林,07-Jan,7.2,13.1,2,3.7,7.3
184,力林,07-Feb,9.1,18.8,0.8,3.5,4.8
184,力林,07-Mar,10.8,25.3,1.7,3.7,6.2
184,力林,07-Apr,13.9,23.3,3.9,3.1,5.3
184,力林,07-May,18.9,29.2,12.5,3.2,5.1
184,力林,07-Jun,21.5,30.7,15.1,3.1,7.4
184,力林,07-Jul,24.8,34,19.7,2.7,6.4
184,力林,07-Aug,28.1,33.7,23.5,2.8,5.4
184,力林,07-Sep,23.3,32.7,18.7,3.2,7.2
184,力林,07-Oct,18.3,26.3,10.6,3.1,5
184,力林,07-Nov,12,19.7,3.7,3.3,4.8
184,力林,07-Dec,9.6,17.7,1.7,4.3,7.1
184,力林,08-Jan,6.4,18.3,0.2,4,7.3
184,力林,08-Feb,5.1,14.8,-0.5,4.3,5.7
184,力林,08-Mar,10,18.3,3.1,3.8,4.2
184,力林,08-Apr,14.2,21.7,6,3.3,5.8
184,力林,08-May,17.2,26.1,8.8,2.9,5.1
184,力林,08-Jun,20.8,29,14.4,3.3,8.3
184,力林,08-Jul,27.2,34.8,19.7,2.3,5.5
184,力林,08-Aug,26.7,34,21.1,3.1,6.2
184,力林,08-Sep,23.9,29.4,13.9,2.9,7.1
184,力林,08-Oct,19.3,26.6,13.2,2.8,5.3
184,力林,08-Nov,13,20.8,4.2,3.7,6.5
184,力林,08-Dec,8.4,19,0.9,4.2,5.9
184,力林,09-Jan,5.5,15.9,-2.5,4.6,7.7
184,力林,09-Feb,8.7,22.1,0.8,3.5,7.2
184,力林,09-Mar,9.8,22.6,1.2,3.6,6.2
184,力林,09-Apr,13.7,21.8,4.5,3.3,4.4
184,力林,09-May,18.6,29.7,11.4,3,3.7
184,力林,09-Jun,22.6,30.7,15.7,3,5.6
184,力林,09-Jul,25.8,33.6,18.7,4,7.4
184,力林,09-Aug,25.6,33.4,20.5,3.1,7
184,力林,09-Sep,22.9,28.8,18.5,2.9,6.2
184,力林,09-Oct,19,26.4,13,3,4.4
184,力林,09-Nov,12.4,23.6,3.4,3.9,6.9
184,力林,09-Dec,7.3,15.8,-0.7,4.4,7
184,力林,10-Jan,5.3,18.9,-2.3,4.2,6.6
184,力林,10-Feb,7.3,23.3,-0.3,3.4,6.7
184,力林,10-Mar,9.3,25.5,-1.4,4.2,6.8
184,力林,10-Apr,11.8,21.2,3.8,3.5,6.3
184,力林,10-May,17.3,25.9,8.9,2.9,5.3
184,力林,10-Jun,21.2,27.7,14.3,2.2,7.2
184,力林,10-Jul,25.9,32.2,20.9,2.3,7.3
184,力林,10-Aug,28.8,35.8,24.6,2.6,5.7
184,力林,10-Sep,24.2,33.9,14.8,2.7,6.2
184,力林,10-Oct,17.6,26.3,6.8,3.2,6
184,力林,10-Nov,11.7,22.1,3.5,3.3,4.1
184,力林,10-Dec,7.1,17.8,-0.6,4.7,6
184,力林,11-Jan,2.3,8,-2.8,5,7.8
184,力林,11-Feb,7,22.3,-1.2,3.1,5.7
184,力林,11-Mar,7.8,18.7,1,3.8,4.4
184,力林,11-Apr,13.2,26.5,6.2,3.2,4.1
184,力林,11-May,18.2,29.8,10.5,3.1,6.2
184,力林,11-Jun,21.7,33.2,15.5,2.6,7.4
184,力林,11-Jul,27.3,34.5,20.8,2.2,6.1
184,力林,11-Aug,26,34.7,20.6,3,7
184,力林,11-Sep,23.1,29.5,16.1,2.9,5.2
184,力林,11-Oct,17.9,25.1,7.7,3,5.2
184,力林,11-Nov,15.7,26.4,6.4,3.2,6.9
184,力林,11-Dec,7.1,14.1,1.4,4.4,7.5
184,力林,12-Jan,5.4,11.1,-0.1,4.2,7.6
184,力林,12-Feb,4.8,11.7,-2.8,4.2,7.8
184,力林,12-Mar,9,20.9,1.4,3.9,5.9
184,力林,12-Apr,14.5,24.4,4.3,3.8,4.9
184,力林,12-May,19,26.8,12.6,3.1,4.8
184,力林,12-Jun,22.3,30.2,16.9,2.8,7.2
184,力林,12-Jul,26.6,34.9,21.5,2.4,6.3
184,力林,12-Aug,27.8,34.4,21.7,3.1,6.4
184,力林,12-Sep,22,30.3,16.5,2.7,5.6
184,力林,12-Oct,18.4,25.4,10,2.8,4.7
184,力林,12-Nov,12,18.1,4.8,3.9,6.4
184,力林,12-Dec,6.6,18,-0.2,4.4,7.6
184,力林,13-Jan,5.6,17.4,-1.6,3.6,6.5
184,力林,13-Feb,6.2,19,-1.8,3,6.6
184,力林,13-Mar,10,28.1,2.3,3.1,4.6
184,力林,13-Apr,13.5,26.4,5.7,3.7,4.9
184,力林,13-May,18.6,27.8,10.2,2.7,5.1
184,力林,13-Jun,21.7,30.8,16.3,2.5,7.9
184,力林,13-Jul,28.7,36.3,20,3.2,4.8
184,力林,13-Aug,29.1,35.7,22.2,2.4,3.9
184,力林,13-Sep,24,29.9,16.3,2.8,4.7
184,力林,13-Oct,19.2,27.1,10.6,3.3,5.1
184,力林,13-Nov,12.9,23.2,3.4,4,5.8
0,力林,13-Dec,8.1,17.2,1.8,4.4,6.4
184,力林,14-Jan,6.8,17.4,0.1,3.6,4.5
184,力林,14-Feb,7.5,20.6,0.1,3.5,6.8
184,力林,14-Mar,10.7,20.9,1.8,3.6,4.7
184,力林,14-Apr,14.8,24.6,7.6,3.1,5.3
184,力林,14-May,19.1,29.6,10.1,3,4.1
184,力林,14-Jun,21.8,29.7,17.3,2.8,7
184,力林,14-Jul,25.1,35.2,20,2.5,7.7
184,力林,14-Aug,25.1,30,20.9,2.9,8
184,力林,14-Sep,23.5,29.1,18.1,2.6,6.2
184,力林,14-Oct,19.1,27.9,12.1,3.1,4.7
184,力林,14-Nov,13.9,22.5,6.9,3.1,5.9
184,力林,14-Dec,7.3,14.7,1.1,4.9,7.1
184,力林,15-Jan,7.4,17.5,1.2,3.9,6.5
184,力林,15-Feb,7.3,17.3,-0.7,3.7,6.5
184,力林,15-Mar,10.4,22.2,0.2,2.9,5.3
184,力林,15-Apr,15.1,27.7,7,2.9,6.2
184,力林,15-May,18.8,29.4,11,2.6,5.3
184,力林,15-Jun,22,30.6,15.3,2.3,7.6
184,力林,15-Jul,25.6,36.7,19.1,3.1,6.5
184,力林,15-Aug,26.4,35.5,20.4,2.5,5.9
184,力林,15-Sep,23.2,28.6,18.4,2.7,5.4
184,力林,15-Oct,19.2,27.5,11.7,3.1,3.7
184,力林,15-Nov,15.2,23.8,3.1,3,7.7
184,力林,15-Dec,10,20.1,2.3,3.6,7.5
184,力林,16-Jan,6.1,16.8,-5.8,4.3,7.8
184,力林,16-Feb,7.3,20.5,-0.4,4.3,6.4
184,力林,16-Mar,10.8,22.5,1,3,5
184,力林,16-Apr,15.6,24.5,9.8,2.9,6.2
184,力林,16-May,18.9,30.4,11.8,2.7,5.7
184,力林,16-Jun,22.2,30.2,16.7,2.4,7.8
184,力林,16-Jul,27.4,35.5,22.3,2.7,5.6
184,力林,16-Aug,28.5,34.4,19.9,3.1,3.9
184,力林,16-Sep,23.9,33,18.9,2.6,7.1
184,力林,16-Oct,20.1,32.1,12.2,2.9,7.8
184,力林,16-Nov,13.7,23.2,6.7,3.2,6.3
184,力林,16-Dec,9.5,22.3,3.1,3.5,6.7
184,力林,17-Jan,6.6,14.8,0.7,3.7,7.2
184,力林,17-Feb,6.8,18.9,-1.1,3.9,5.5
184,力林,17-Mar,9.8,17.9,3,3.3,5.8
184,力林,17-Apr,15.7,27.6,8.5,3.1,5
184,力林,17-May,19.5,28.1,13.6,2.6,4.8
184,力林,17-Jun,22,28,16.7,2.5,6.5
184,力林,17-Jul,29.2,37,23.1,2.7,6.1
184,力林,17-Aug,28.7,35.7,22.1,2.8,5.2
184,力林,17-Sep,24,32.1,18,2.9,7.2
184,力林,17-Oct,19.3,27.4,9.8,3.2,6.4
184,力林,17-Nov,12.6,24.2,5,3,5.8
184,力林,17-Dec,7.2,15.1,0.7,3.9,7.4
184,力林,18-Jan,4.9,14.4,-2.6,3.8,7.7
184,力林,18-Feb,5.5,17.5,-2.5,3.7,6.2
184,力林,18-Mar,11.4,23.2,2.8,3,4.8
184,力林,18-Apr,15.9,26.1,5.3,2.9,5.2
184,力林,18-May,19.1,31.1,12,2.9,6.8
184,力林,18-Jun,22.3,32.3,16.2,2.7,6.5
184,力林,18-Jul,27.3,35,19.6,2.7,5.1
184,力林,18-Aug,28.8,35.3,24.4,3.3,5.1
184,力林,18-Sep,23.9,31.2,18.5,2.8,7.1
184,力林,18-Oct,17.9,24.7,11.6,3.2,5
184,力林,18-Nov,13.9,20.5,7.3,2.6,4.8
184,力林,18-Dec,8.7,22.9,0.2,3.6,7.8
184,力林,19-Jan,6.4,12.6,2,3.3,6.5
184,力林,19-Feb,7.4,18.4,1,3,7
184,力林,19-Mar,10.8,22,3.6,3.5,5.5
184,力林,19-Apr,14.7,25,6.2,3,5.4
184,力林,19-May,20,33.1,11.9,3,5.4
184,力林,19-Jun,21.5,29.8,15.9,2.6,6.2
184,力林,19-Jul,25.2,35.4,20.4,2.6,6.9
184,力林,19-Aug,27.7,34.7,20.8,2.8,6.2
184,力林,19-Sep,24,30.4,16.7,2.9,7
184,力林,19-Oct,19.7,27.3,11.9,2.9,5.3
184,力林,19-Nov,14.6,24.3,6.9,3,5.3
184,力林,19-Dec,9.7,18.7,1.8,3.3,7.1
184,力林,20-Jan,8.9,23.6,2.4,3.5,8
184,力林,20-Feb,9.1,21.8,0.5,3.3,6.2
184,力林,20-Mar,11.5,23.2,2.5,3.2,5.1
184,力林,20-Apr,13.2,24.8,6,3.3,3.9
184,力林,20-May,18.8,29.5,13.2,2.9,5.6
184,力林,20-Jun,22.4,30.9,15,2.7,6.7
184,力林,20-Jul,24.2,34.3,19.2,2.9,7.9
184,力林,20-Aug,29.4,36.3,24.3,2.9,5.2
184,力林,20-Sep,22.9,30.7,16.8,3,6.7
184,力林,20-Oct,18.4,25.5,12.1,2.9,5.5
184,力林,20-Nov,14.1,26.7,7.6,2.9,5.8
184,力林,20-Dec,7.7,15,-1.4,3.4,6.7
184,力林,21-Jan,6.8,18.2,-3.1,3.9,6.9
184,力林,21-Feb,9.4,23.7,-1.2,3.9,5.7
184,力林,21-Mar,12.5,21.9,4.8,3.1,5.9
184,力林,21-Apr,15.4,25.9,8.2,3.2,5.5
184,力林,21-May,19,30.9,9.4,3,5.8
184,力林,21-Jun,23.4,31.5,18.4,2.4,6.7
184,力林,21-Jul,27.8,34.2,22.7,3.1,7.3
184,力林,21-Aug,27.3,33.8,22.2,2.5,6.6
184,力林,21-Sep,24.9,33.3,19,3.4,7
184,力林,21-Oct,20.1,31.8,9,2.9,4.8
184,力林,21-Nov,14,23.2,7,3.7,5.3
184,力林,21-Dec,8.9,17.4,-0.5,4.2,6.4
184,力林,22-Jan,6.2,14.4,0.3,3.5,7
184,力林,22-Feb,5.6,16.2,0,4.1,6.6
184,力林,22-Mar,11.4,22.3,4.5,3.2,5.9
184,力林,22-Apr,15.5,26.7,5.6,2.8,5
184,力林,22-May,19.4,29,9.5,2.9,5.1
184,力林,22-Jun,23.9,34.4,17.3,3.3,6.3
184,力林,22-Jul,28.4,36,23.2,3.1,6
184,力林,22-Aug,29.2,37.5,21.2,3.1,6.2
184,力林,22-Sep,24.1,32.8,17.2,3.4,7.5
184,力林,22-Oct,18.4,30.6,11.5,3.5,5
184,力林,22-Nov,15.2,27.4,4.1,3.1,5.2
184,力林,22-Dec,6.9,14.6,-0.4,4.5,7.5
184,力林,23-Jan,6.8,20.7,-3.4,4,6.6
184,力林,23-Feb,7.7,16.4,1.1,3.1,6.5
184,力林,23-Mar,12.3,22.4,2.4,2.7,4.9
184,力林,23-Apr,15.5,28.6,7.4,3.6,5.3
